sample_id,n_references,ani_min,ani_max,ani_mean,ani_median,ani_std,af_min,af_max,af_mean,af_median,af_std,quality_min,quality_max,quality_mean,quality_median,quality_std
PAL084,10,81.83,99.99,86.21799999999999,82.66499999999999,7.325233102093061,1.3,99.61,21.259,1.6949999999999998,41.23990420562212,68.0,80.3,76.14,79.19999999999999,5.30370939374824
PAL086,10,80.45,99.99,85.554,80.68,8.218273946922594,1.49,97.78,23.397,6.3,37.745090939087696,89.2,98.6,95.85,97.45,3.0721870602769816
PAL088,100,96.21,99.03,97.5215,97.185,0.7914739797403675,77.64,89.6,83.9711,82.39500000000001,3.3202457907677703,70.3,100.0,89.04899999999999,89.65,5.250213944654686
PAL089,100,98.77,99.84,99.28229999999999,99.37,0.2949331545563599,84.25,95.24,91.0184,91.745,2.263265148256641,89.1,98.5,94.02300000000001,92.4,2.4279456752613306
PAL091,100,97.05,100.0,98.5411,98.80000000000001,0.7427574817985054,87.47,99.35,92.28219999999999,92.605,2.7698074833730817,89.6,98.7,98.15299999999999,98.7,1.4718541182653038
PAL094,10,80.56,99.99,83.138,81.145,5.976665365309392,10.05,99.39,22.959,15.085,26.94943266770399,90.8,98.7,96.56,97.0,2.194032310103427
PAL095,10,97.43,99.99,98.701,98.3,1.1202623700623866,76.77,98.06,86.09400000000001,80.86,9.061648366114811,68.0,79.0,73.71000000000001,75.44999999999999,3.7866578638395323
PAL096,100,97.15,99.89,98.1566,97.71,0.7791075184161274,77.08,92.74,85.2516,83.89500000000001,3.3515438083053612,85.0,98.6,89.56,89.9,1.3684024453812016
PAL100,100,97.29,99.99,98.3708,98.6,0.5953721864548531,79.53,94.33,84.70120000000001,84.905,2.375448614727763,92.8,98.7,98.329,98.7,0.970816068255904
PAL103,100,98.82,99.62,98.9916,98.99,0.1155375665873644,81.31,94.45,88.29719999999999,89.055,1.967884615160615,89.1,98.5,94.089,92.4,2.4096982081882077
PAL110,100,97.15,99.75,98.1829,98.4,0.6067054516406789,79.33,87.45,83.66959999999999,83.71000000000001,1.2609207153921527,93.3,98.7,98.395,98.7,0.7933276037480964
PAL113,75,97.97,99.87,98.60253333333333,98.53,0.3465392350678957,73.31,93.46,82.9672,82.24,3.5116195385866895,55.1,99.5,78.74933333333333,76.5,9.776839335254893
PAL122,3,97.17,97.67,97.33666666666666,97.17,0.2886751345948108,71.37,74.23,73.27666666666667,74.23,1.6512217698823295,85.8,96.3,92.76666666666667,96.2,6.033517492585345
PAL124,100,97.42,99.51,98.3609,98.44,0.26287107490214473,83.12,94.48,87.27120000000001,87.33,1.2646437435024187,90.9,99.8,97.43299999999999,97.7,1.4091372100571562
PAL151,100,98.86,99.99,99.3206,99.32499999999999,0.41468454604346144,88.97,99.53,94.4267,94.33,2.637842727026232,88.8,98.3,94.67299999999999,95.6,2.501912601724264
PAL163,100,97.13,99.66,98.17049999999999,98.31,0.5054978044492491,87.43,96.01,89.93469999999999,89.765,1.490142325925674,96.7,98.7,98.454,98.7,0.48459500950001677
PAL167,4,83.31,83.98,83.73,83.815,0.29063149634316576,20.38,21.82,21.3675,21.634999999999998,0.6685992820815774,72.6,91.1,86.475,91.1,9.25
PAL186,100,98.91,99.84,99.1619,99.07,0.2589711383630225,85.77,97.04,91.9506,92.17,2.5119965981447825,88.8,98.5,93.789,92.4,2.361043041205365
PAL195,100,96.78,99.58,97.9917,97.565,0.818774712789199,72.43,81.62,75.7496,74.62,2.503897132169143,86.7,98.7,96.781,97.4,2.050015767369758
